id,Country,village_name,Y_deg,X_deg,Pop,elec_rate,demand_kwh,dist_to_grid,SubstationDist,RoadDist,GHI,GridCellArea,Elevation
16055,Benin,Angaradébou,11.419087,3.076439,211,0.3886255924170616,6494.81,1.225880880630448,36.561329884537926,0.0,2080,46786.599,305.0
5673,Benin,Kétou,7.626578,2.678633,57,0.38596491228070173,1742.51,2.0823657089685286,58.35878317106587,0.0,1730,32531.33,237.0
12516,Benin,Location #5894,10.322787,1.203481,160,0.3875,4910.71,16.508880088801273,23.53601812222249,8.339011,2000,88233.224,493.0
4432,Benin,Za-Gohoumé,7.178952,2.202476,314,0.3885350318471338,10617.484999999999,0.9025873954869986,13.926826119097289,2.348545,1759,123749.282,77.0
15435,Benin,Goumori,11.184642,2.339167,49,0.3877551020408163,1504.895,16.436048318361166,15.161551308266917,2.309976,2069,14634.841,323.0
7086,Benin,Tchaourou,8.830528,2.555591,137,0.38686131386861317,4197.865,3.844451792387141,6.7232162683818695,4.869605,1832,27850.849,320.0
17094,Benin,Location #6688,10.460072,1.177422,134,0.3880597014925373,4118.66,14.335179859618536,35.257606509910566,0.148893,1998,66016.886,259.0
12369,Benin,Location #13427,10.302141,0.902945,54,0.3888888888888889,1663.305,48.51239187478564,54.707537833508184,17.159879,1983,34894.497,189.0
14384,Benin,Balakpènan,10.941506,3.10978,75,0.38666666666666666,2296.945,24.534441811369405,28.037690953316194,6.442338,2041,97018.8,280.0
15111,Benin,Kandi,11.144552,2.899892,85,0.38823529411764707,2613.765,0.24739602439722264,3.7911695041602207,0.54096,2064,22753.917,277.0
9476,Benin,Copargo,9.850935,1.556668,72,0.3888888888888889,2217.74,0.47477738277295134,19.594915294371276,1.449768,2006,32283.507,507.0
5136,Benin,Djidja,7.386395,1.91788,322,0.38819875776397517,9900.625,16.8250586944501,27.677800642390984,1.647986,1785,55563.928,164.0
12146,Benin,Manta,10.432042,1.058644,119,0.3865546218487395,3643.43,27.609888618586737,43.354805580411934,5.024547,2000,97733.0,273.0
7613,Benin,Bétérou,9.197026,2.290986,36,0.3888888888888889,1108.87,0.19447690835610382,32.26154335933131,0.552478,1895,27613.52,275.0
1987,Benin,Bopa,6.782738,1.961394,93,0.3870967741935484,2851.38,5.008406355637802,15.349974951395673,9.416959,1718,41219.652,56.0
8323,Benin,Douroubé,9.40641,2.683417,611,0.3878887070376432,22595.69,5.416883766421197,12.641303292996229,0.0,1903,186645.602,354.0
15022,Benin,Location #7570,11.121754,2.395438,116,0.3879310344827586,3564.2250000000004,19.71597160381405,19.04650532373097,11.389929,2057,18653.013,279.0
15149,Benin,Location #13206,11.110532,2.433565,54,0.3888888888888889,1663.305,19.556839403054628,20.019467223753846,14.736066,2056,20679.625,263.0
11230,Benin,Natta,10.229511,1.12547,149,0.38926174496644295,4593.89,28.047320977768035,29.528122031669565,0.336748,1977,94130.804,255.0
752,Benin,Tori-Bossito,6.519638,2.251557,103,0.3883495145631068,4603.015,2.8090194074979653,21.156131996043964,4.438239,1723,59749.191,39.0
