X_deg;Y_deg;Pop;GridCellArea;Country;ElecPop;WindVel;GHI;TravelHours;Elevation;ResidentialDemandTierCustom;Slope;NightLights;LandCover;SubstationDist;TransformerDist;CurrentHVLineDist;PlannedHVLineDist;CurrentMVLineDist;PlannedMVLineDist;RoadDist;HydropowerDist;Hydropower;HydropowerFID;IsUrban;PerCapitaDemand;HealthDemand;EducationDemand;AgriDemand;ElectrificationOrder;CommercialDemand;ResidentialDemandTier1;ResidentialDemandTier2;ResidentialDemandTier3;ResidentialDemandTier4;ResidentialDemandTier5;id;Households
1.9132;6.9175;317;0.0516;Benin;0.0000;0.0000;1759;0.1366;77.0000;38.7000;0.7643;0.0000;14;18.7439;9999;24.9781;15.1431;24.9781;15.1431;0.2622;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;9939;63.4000
1.7911;7.2660;70;0.0094;Benin;0.0000;0.0000;1775;0.8459;115.0000;38.7000;0.5686;0.0000;14;24.4323;9999;4.4900;24.8835;4.4900;24.8835;12.6419;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;4774;14.0000
2.6933;6.9356;67;0.0145;Benin;0.0000;0.0000;1701;0.2924;138.0000;38.7000;0.3479;0.0000;14;18.9510;9999;6.3067;22.2322;6.3067;22.2322;2.7300;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;3454;13.4000
1.9710;6.4055;49;0.0248;Benin;49.0000;0.0000;1787;0.0408;31.0000;38.7000;0.0882;90.9459;14;10.2148;9999;25.8555;25.9026;25.8555;25.9026;0.2207;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;483;9.8000
2.6966;10.0045;75;0.0906;Benin;0.0000;0.0000;1979;0.2536;368.0000;38.7000;0.2888;0.0000;12;18.7570;9999;0.0439;19.8711;0.0439;19.8711;0.6706;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;10327;15.0000
3.3590;10.3124;101;0.0996;Benin;0.0000;0.0000;2014;0.1651;391.0000;38.7000;1.1442;0.0000;12;3.7004;9999;77.2524;68.0913;77.2524;68.0913;1.4285;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;12552;20.2000
1.6434;9.6885;184;0.0713;Benin;0.0000;0.0000;1994;0.1589;435.0000;38.7000;0.6090;0.0000;12;1.4623;9999;2.5684;24.2553;2.5684;24.2553;1.0001;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;8981;36.8000
2.7018;7.0728;36;0.0068;Benin;0.0000;0.0000;1699;0.5386;59.0000;38.7000;0.1162;0.0000;9;7.0920;9999;5.3096;37.4133;5.3096;37.4133;6.0761;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;3946;7.2000
2.7509;7.0400;93;0.0313;Benin;0.0000;0.0000;1689;0.5583;40.0000;38.7000;0.2284;0.0000;9;13.5012;9999;10.5756;35.1053;10.5756;35.1053;7.5029;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;3966;18.6000
2.3856;10.3206;34;0.0056;Benin;0.0000;0.0000;2025;0.1317;390.0000;38.7000;0.8368;0.0000;12;1.7069;9999;32.4334;32.4675;32.4334;32.4675;0.3243;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;12502;6.8000
1.7558;9.2337;77;0.0710;Benin;0.0000;0.0000;1938;1.3677;389.0000;38.7000;0.1037;0.0000;9;49.1895;9999;35.6110;23.5725;35.6110;23.5725;20.1264;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;7815;15.4000
2.1876;7.8528;106;0.0627;Benin;0.0000;0.0000;1799;0.3883;188.0000;38.7000;0.6306;0.0000;10;6.1866;9999;0.3709;75.9610;0.3709;75.9610;0.9340;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;6315;21.2000
2.6957;9.2293;46;0.0343;Benin;0.0000;0.0000;1882;0.5687;356.0000;38.7000;0.4797;0.0000;10;15.9098;9999;14.8230;13.4933;14.8230;13.4933;13.1306;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;7807;9.2000
2.6458;10.0651;106;0.0482;Benin;0.0000;0.0000;1992;0.1231;387.0000;38.7000;0.5410;0.0000;12;11.2858;9999;0.5920;13.8807;0.5920;13.8807;0.0260;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;10551;21.2000
2.0492;6.7276;62;0.0136;Benin;0.0000;0.0000;1715;0.6560;42.0000;38.7000;2.1973;0.0000;14;7.0940;9999;4.4599;4.3303;4.4599;4.3303;1.2801;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;3282;12.4000
2.3527;7.2991;54;0.0373;Benin;0.0000;0.0000;1750;0.4413;139.0000;38.7000;0.1709;0.0000;9;33.5778;9999;5.3058;37.3114;5.3058;37.3114;8.6464;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;4678;10.8000
1.3779;9.5036;88;0.0187;Benin;0.0000;0.0000;1972;0.2747;369.0000;38.7000;-9999.0000;0.0000;12;33.7696;9999;19.9635;0.0000;19.9635;0.0000;1.2459;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;8397;17.6000
2.9052;10.1639;121;0.0952;Benin;0.0000;0.0000;1996;0.2239;349.0000;38.7000;0.6013;0.0000;12;27.1121;9999;26.8526;21.3124;26.8526;21.3124;1.2039;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;11116;24.2000
2.7398;6.8941;111;0.0639;Benin;0.0000;0.0000;1700;0.6280;128.0000;38.7000;0.2954;0.0000;14;19.7965;9999;12.6352;19.6997;12.6352;19.6997;7.2072;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;9998;22.2000
1.8792;7.5145;57;0.0065;Benin;0.0000;0.0000;1794;0.9889;155.0000;38.7000;0.1972;0.0000;12;42.3540;9999;21.0308;40.2707;21.0308;40.2707;9.3329;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;5438;11.4000
2.9295;11.2179;281;0.1842;Benin;0.0000;0.0000;2062;0.4697;257.0000;38.7000;0.5106;0.0000;12;10.3191;9999;116.1396;5.9299;116.1396;5.9299;3.9549;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;15684;56.2000
1.3636;9.7770;54;0.0157;Benin;0.0000;0.0000;1980;0.2365;0.0000;38.7000;-9999.0000;0.0000;12;30.4353;9999;9.2912;30.1355;9.2912;30.1355;3.0633;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;9106;10.8000
2.1306;7.8614;433;0.1930;Benin;0.0000;0.0000;1801;0.5146;165.0000;38.7000;0.4568;0.0000;10;8.4759;9999;6.4474;75.5452;6.4474;75.5452;0.0000;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;6309;86.6000
2.9750;10.7856;67;0.0242;Benin;0.0000;0.0000;2045;0.2893;330.0000;38.7000;0.4637;0.0000;12;16.7607;9999;73.1273;14.7847;73.1273;14.7847;16.0988;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;13816;13.4000
